Date / Tanggal;Customer Name / Nama Pelanggan;Product Code / Kode Barang;Description / Nama Barang
28-12-2022;PERSEROAN TERBATAS ALU AKSARA PRATAMA;8.00691.0250;5-SULFOSALICYLIC ACID DIHYDRATE FOR SYNTHESIS;3
22-12-2022;BISI INTERNATIONAL TBK, PT;8.22343.0100;ACETAMIDE FOR SYNTHESIS;5
28-12-2022;SARIFEED INDOJAYA, PT;1.00063.1000;ACETIC ACID GLACIAL 100% GR;75
07-12-2022;BATARA ELOK SEMESTA TERPADU,PT;1.00063.2511;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;23
14-12-2022;GELORA DJAJA, PT;1.00063.2500;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;10
29-12-2022;INDOFOOD CBP SUKSES MAKMUR Tbk, PT;1.00063.2511;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;3
13-12-2022;JAPFA COMFEED INDONESIA TBK, PT;1.00063.2500;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;1
21-12-2022;MAXXI AGRI INDONESIA, PT;1.00063.2500;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;1
27-12-2022;SALIM IVOMAS PRATAMA TBK, PT;1.00063.2500;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;2
08-12-2022;SIANTAR TOP Tbk, PT;1.00063.2511;ACETIC ACID GLACIAL 100% GR  -  2.5 LTR;7
26-12-2022;ESSENTRA, PT;1.00030.4000;ACETONITRILE FOR CHROMATOGRAPHY  -  4 LTR;10
15-12-2022;HEXA TUNGGAL JAYA, PT;1.00030.4000;ACETONITRILE FOR CHROMATOGRAPHY  -  4 LTR;8
23-12-2022;MAXXI AGRI INDONESIA, PT;1.00030.4000;ACETONITRILE FOR CHROMATOGRAPHY  -  4 LTR;1
03-12-2022;BAPAK ALI JAPTONO;1.11109.0001;AM ALKALINITY 0.1-10 MMOL/L 200 X  -  1 PACK;2
20-12-2022;TANJUNG MANGARAN, CV;1.11109.0001;AM ALKALINITY 0.1-10 MMOL/L 200 X  -  1 PACK;5
22-12-2022;VERDITA ADENIA;1.11109.0001;AM ALKALINITY 0.1-10 MMOL/L 200 X  -  1 PACK;6
19-12-2022;IR. HARDI PITOYO;1.11117.0001;AM AMMONIUM 0.5-10 MG/L 150 X  -  1 PACK;5
12-12-2022;MUARA MAS ABADI, CV;1.11117.0001;AM AMMONIUM 0.5-10 MG/L 150 X  -  1 PACK;20
27-12-2022;SEJATI MARINE PERKASA, CV;1.11117.0001;AM AMMONIUM 0.5-10 MG/L 150 X  -  1 PACK;2
16-12-2022;SINTA AQUA CULTURE;1.11117.0001;AM AMMONIUM 0.5-10 MG/L 150 X  -  1 PACK;5
